Gene	Approved	Suggested.Symbol	cell_type	meta_program	gene_rank	orig_in_10x	suggest_in_10x	Updated_Symbol
TOP2A	TRUE	TOP2A	Malignant	cell_cycle_g2_m	1	TRUE	TRUE	NA
UBE2C	TRUE	UBE2C	Malignant	cell_cycle_g2_m	2	TRUE	TRUE	NA
HMGB2	TRUE	HMGB2	Malignant	cell_cycle_g2_m	3	TRUE	TRUE	NA
NUSAP1	TRUE	NUSAP1	Malignant	cell_cycle_g2_m	4	TRUE	TRUE	NA
CENPF	TRUE	CENPF	Malignant	cell_cycle_g2_m	5	TRUE	TRUE	NA
CCNB1	TRUE	CCNB1	Malignant	cell_cycle_g2_m	6	TRUE	TRUE	NA
TPX2	TRUE	TPX2	Malignant	cell_cycle_g2_m	7	TRUE	TRUE	NA
CKS2	TRUE	CKS2	Malignant	cell_cycle_g2_m	8	TRUE	TRUE	NA
BIRC5	TRUE	BIRC5	Malignant	cell_cycle_g2_m	9	TRUE	TRUE	NA
PRC1	TRUE	PRC1	Malignant	cell_cycle_g2_m	10	TRUE	TRUE	NA
PTTG1	TRUE	PTTG1	Malignant	cell_cycle_g2_m	11	TRUE	TRUE	NA
KPNA2	TRUE	KPNA2	Malignant	cell_cycle_g2_m	12	TRUE	TRUE	NA
MKI67	TRUE	MKI67	Malignant	cell_cycle_g2_m	13	TRUE	TRUE	NA
CDC20	TRUE	CDC20	Malignant	cell_cycle_g2_m	14	TRUE	TRUE	NA
CDK1	TRUE	CDK1	Malignant	cell_cycle_g2_m	15	TRUE	TRUE	NA
CCNB2	TRUE	CCNB2	Malignant	cell_cycle_g2_m	16	TRUE	TRUE	NA
CDKN3	TRUE	CDKN3	Malignant	cell_cycle_g2_m	17	TRUE	TRUE	NA
SMC4	TRUE	SMC4	Malignant	cell_cycle_g2_m	18	TRUE	TRUE	NA
NUF2	TRUE	NUF2	Malignant	cell_cycle_g2_m	19	TRUE	TRUE	NA
ARL6IP1	TRUE	ARL6IP1	Malignant	cell_cycle_g2_m	20	TRUE	TRUE	NA
CKAP2	TRUE	CKAP2	Malignant	cell_cycle_g2_m	21	TRUE	TRUE	NA
ASPM	TRUE	ASPM	Malignant	cell_cycle_g2_m	22	TRUE	TRUE	NA
PLK1	TRUE	PLK1	Malignant	cell_cycle_g2_m	23	TRUE	TRUE	NA
CKS1B	TRUE	CKS1B	Malignant	cell_cycle_g2_m	24	TRUE	TRUE	NA
CCNA2	TRUE	CCNA2	Malignant	cell_cycle_g2_m	25	TRUE	TRUE	NA
AURKA	TRUE	AURKA	Malignant	cell_cycle_g2_m	26	TRUE	TRUE	NA
MAD2L1	TRUE	MAD2L1	Malignant	cell_cycle_g2_m	27	TRUE	TRUE	NA
GTSE1	TRUE	GTSE1	Malignant	cell_cycle_g2_m	28	TRUE	TRUE	NA
HMMR	TRUE	HMMR	Malignant	cell_cycle_g2_m	29	TRUE	TRUE	NA
UBE2T	TRUE	UBE2T	Malignant	cell_cycle_g2_m	30	TRUE	TRUE	NA
CENPE	TRUE	CENPE	Malignant	cell_cycle_g2_m	31	TRUE	TRUE	NA
CENPA	TRUE	CENPA	Malignant	cell_cycle_g2_m	32	TRUE	TRUE	NA
KIF20B	TRUE	KIF20B	Malignant	cell_cycle_g2_m	33	TRUE	TRUE	NA
AURKB	TRUE	AURKB	Malignant	cell_cycle_g2_m	34	TRUE	TRUE	NA
CDCA3	TRUE	CDCA3	Malignant	cell_cycle_g2_m	35	TRUE	TRUE	NA
CDCA8	TRUE	CDCA8	Malignant	cell_cycle_g2_m	36	TRUE	TRUE	NA
UBE2S	TRUE	UBE2S	Malignant	cell_cycle_g2_m	37	TRUE	TRUE	NA
KNSTRN	TRUE	KNSTRN	Malignant	cell_cycle_g2_m	38	TRUE	TRUE	NA
KIF2C	TRUE	KIF2C	Malignant	cell_cycle_g2_m	39	TRUE	TRUE	NA
PBK	TRUE	PBK	Malignant	cell_cycle_g2_m	40	TRUE	TRUE	NA
TUBA1B	TRUE	TUBA1B	Malignant	cell_cycle_g2_m	41	TRUE	TRUE	NA
DLGAP5	TRUE	DLGAP5	Malignant	cell_cycle_g2_m	42	TRUE	TRUE	NA
TACC3	TRUE	TACC3	Malignant	cell_cycle_g2_m	43	TRUE	TRUE	NA
STMN1	TRUE	STMN1	Malignant	cell_cycle_g2_m	44	TRUE	TRUE	NA
DEPDC1	TRUE	DEPDC1	Malignant	cell_cycle_g2_m	45	TRUE	TRUE	NA
ECT2	TRUE	ECT2	Malignant	cell_cycle_g2_m	46	TRUE	TRUE	NA
CENPW	TRUE	CENPW	Malignant	cell_cycle_g2_m	47	TRUE	TRUE	NA
ZWINT	TRUE	ZWINT	Malignant	cell_cycle_g2_m	48	TRUE	TRUE	NA
HIST1H4C	FALSE	H4C3	Malignant	cell_cycle_g2_m	49	TRUE	FALSE	NA
KIF23	TRUE	KIF23	Malignant	cell_cycle_g2_m	50	TRUE	TRUE	NA
PCNA	TRUE	PCNA	Malignant	cell_cycle_g1_s	1	TRUE	TRUE	NA
RRM2	TRUE	RRM2	Malignant	cell_cycle_g1_s	2	TRUE	TRUE	NA
FEN1	TRUE	FEN1	Malignant	cell_cycle_g1_s	3	TRUE	TRUE	NA
GINS2	TRUE	GINS2	Malignant	cell_cycle_g1_s	4	TRUE	TRUE	NA
TYMS	TRUE	TYMS	Malignant	cell_cycle_g1_s	5	TRUE	TRUE	NA
MCM3	TRUE	MCM3	Malignant	cell_cycle_g1_s	6	TRUE	TRUE	NA
GMNN	TRUE	GMNN	Malignant	cell_cycle_g1_s	7	TRUE	TRUE	NA
HIST1H4C	FALSE	H4C3	Malignant	cell_cycle_g1_s	8	TRUE	FALSE	NA
CLSPN	TRUE	CLSPN	Malignant	cell_cycle_g1_s	9	TRUE	TRUE	NA
ATAD2	TRUE	ATAD2	Malignant	cell_cycle_g1_s	10	TRUE	TRUE	NA
TK1	TRUE	TK1	Malignant	cell_cycle_g1_s	11	TRUE	TRUE	NA
PCLAF	FALSE	PCLAF	Malignant	cell_cycle_g1_s	12	FALSE	TRUE	PCLAF
DUT	TRUE	DUT	Malignant	cell_cycle_g1_s	13	TRUE	TRUE	NA
HELLS	TRUE	HELLS	Malignant	cell_cycle_g1_s	14	TRUE	TRUE	NA
MCM7	TRUE	MCM7	Malignant	cell_cycle_g1_s	15	TRUE	TRUE	NA
UBE2T	TRUE	UBE2T	Malignant	cell_cycle_g1_s	16	TRUE	TRUE	NA
MCM4	TRUE	MCM4	Malignant	cell_cycle_g1_s	17	TRUE	TRUE	NA
CENPU	TRUE	CENPU	Malignant	cell_cycle_g1_s	18	TRUE	TRUE	NA
DHFR	TRUE	DHFR	Malignant	cell_cycle_g1_s	19	TRUE	TRUE	NA
ZWINT	TRUE	ZWINT	Malignant	cell_cycle_g1_s	20	TRUE	TRUE	NA
ASF1B	TRUE	ASF1B	Malignant	cell_cycle_g1_s	21	TRUE	TRUE	NA
MCM5	TRUE	MCM5	Malignant	cell_cycle_g1_s	22	TRUE	TRUE	NA
DNAJC9	TRUE	DNAJC9	Malignant	cell_cycle_g1_s	23	TRUE	TRUE	NA
RFC4	TRUE	RFC4	Malignant	cell_cycle_g1_s	24	TRUE	TRUE	NA
HMGB2	TRUE	HMGB2	Malignant	cell_cycle_g1_s	25	TRUE	TRUE	NA
CDC6	TRUE	CDC6	Malignant	cell_cycle_g1_s	26	TRUE	TRUE	NA
RRM1	TRUE	RRM1	Malignant	cell_cycle_g1_s	27	TRUE	TRUE	NA
ORC6	TRUE	ORC6	Malignant	cell_cycle_g1_s	28	TRUE	TRUE	NA
CDK1	TRUE	CDK1	Malignant	cell_cycle_g1_s	29	TRUE	TRUE	NA
RAD51AP1	TRUE	RAD51AP1	Malignant	cell_cycle_g1_s	30	TRUE	TRUE	NA
RNASEH2A	TRUE	RNASEH2A	Malignant	cell_cycle_g1_s	31	TRUE	TRUE	NA
CHAF1A	TRUE	CHAF1A	Malignant	cell_cycle_g1_s	32	TRUE	TRUE	NA
CENPK	TRUE	CENPK	Malignant	cell_cycle_g1_s	33	TRUE	TRUE	NA
CDCA5	TRUE	CDCA5	Malignant	cell_cycle_g1_s	34	TRUE	TRUE	NA
